provincia,fecha,tmax,tmin,precip_mm,humedad_%,viento_kph,hospital,camas_iniciales_planta,camas_habilitadas_planta,camas_ocupadas_planta,camas_iniciales_uci,camas_habilitadas_uci,camas_ocupadas_uci,camas_ocupadas_covid_uci,codigo_ine,hospital_encoded,provincia_encoded
Burgos,2022-01-01,15,4,0.0,54,11,H. Santiago Apóstol,842.0,755.0,457.0,42.0,47.0,38.0,13.0,9059,8,0
Burgos,2022-01-01,15,4,0.0,54,11,Edificio Rondilla,114.0,109.0,33.0,0.0,0.0,0.0,0.0,9059,6,0
Burgos,2022-01-01,15,4,0.0,54,11,H.U. Río Hortega,114.0,114.0,53.0,0.0,0.0,0.0,0.0,9059,11,0
Burgos,2022-01-02,13,6,0.0,63,13,Edificio Rondilla,114.0,106.0,45.0,0.0,0.0,0.0,0.0,9059,6,0
Burgos,2022-01-02,13,6,0.0,63,13,H. Santiago Apóstol,842.0,758.0,478.0,42.0,47.0,39.0,14.0,9059,8,0
Burgos,2022-01-02,13,6,0.0,63,13,H.U. Río Hortega,114.0,114.0,48.0,0.0,0.0,0.0,0.0,9059,11,0
Burgos,2022-01-03,13,6,0.0,83,14,H. Santiago Apóstol,842.0,755.0,518.0,42.0,47.0,38.0,16.0,9059,8,0
Burgos,2022-01-03,13,6,0.0,83,14,Edificio Rondilla,114.0,107.0,51.0,0.0,0.0,0.0,0.0,9059,6,0
Burgos,2022-01-03,13,6,0.0,83,14,H.U. Río Hortega,114.0,114.0,59.0,0.0,0.0,0.0,0.0,9059,11,0
Burgos,2022-01-04,12,3,10.1,81,19,Edificio Rondilla,114.0,106.0,56.0,0.0,0.0,0.0,0.0,9059,6,0
Burgos,2022-01-04,12,3,10.1,81,19,H. Santiago Apóstol,842.0,747.0,544.0,42.0,47.0,38.0,17.0,9059,8,0
Burgos,2022-01-04,12,3,10.1,81,19,H.U. Río Hortega,114.0,114.0,62.0,0.0,0.0,0.0,0.0,9059,11,0
Burgos,2022-01-05,3,-1,5.9,90,11,H. Santiago Apóstol,842.0,755.0,520.0,42.0,47.0,38.0,15.0,9059,8,0
Burgos,2022-01-05,3,-1,5.9,90,11,H.U. Río Hortega,114.0,114.0,54.0,0.0,0.0,0.0,0.0,9059,11,0
Burgos,2022-01-05,3,-1,5.9,90,11,Edificio Rondilla,114.0,106.0,56.0,0.0,0.0,0.0,0.0,9059,6,0
Burgos,2022-01-06,5,-3,0.0,80,9,Edificio Rondilla,114.0,108.0,55.0,0.0,0.0,0.0,0.0,9059,6,0
Burgos,2022-01-06,5,-3,0.0,80,9,H.U. Río Hortega,114.0,114.0,61.0,0.0,0.0,0.0,0.0,9059,11,0
Burgos,2022-01-06,5,-3,0.0,80,9,H. Santiago Apóstol,842.0,748.0,495.0,42.0,47.0,36.0,17.0,9059,8,0
Burgos,2022-01-07,6,0,0.0,87,10,Edificio Rondilla,114.0,108.0,57.0,0.0,0.0,0.0,0.0,9059,6,0
Burgos,2022-01-07,6,0,0.0,87,10,H.U. Río Hortega,114.0,114.0,56.0,0.0,0.0,0.0,0.0,9059,11,0
Burgos,2022-01-07,6,0,0.0,87,10,H. Santiago Apóstol,842.0,749.0,497.0,42.0,47.0,37.0,18.0,9059,8,0
Burgos,2022-01-08,6,-2,0.0,86,11,H. Santiago Apóstol,842.0,752.0,469.0,42.0,47.0,38.0,17.0,9059,8,0
Burgos,2022-01-08,6,-2,0.0,86,11,Edificio Rondilla,114.0,108.0,39.0,0.0,0.0,0.0,0.0,9059,6,0
Burgos,2022-01-08,6,-2,0.0,86,11,H.U. Río Hortega,114.0,114.0,60.0,0.0,0.0,0.0,0.0,9059,11,0
Burgos,2022-01-09,8,2,0.3,93,18,H. Santiago Apóstol,842.0,753.0,496.0,42.0,47.0,36.0,16.0,9059,8,0
Burgos,2022-01-09,8,2,0.3,93,18,Edificio Rondilla,114.0,108.0,43.0,0.0,0.0,0.0,0.0,9059,6,0
Burgos,2022-01-09,8,2,0.3,93,18,H.U. Río Hortega,114.0,114.0,55.0,0.0,0.0,0.0,0.0,9059,11,0
Burgos,2022-01-10,9,5,0.4,94,11,H. Santiago Apóstol,842.0,753.0,556.0,42.0,47.0,34.0,15.0,9059,8,0
Burgos,2022-01-10,9,5,0.4,94,11,H.U. Río Hortega,114.0,114.0,55.0,0.0,0.0,0.0,0.0,9059,11,0
Burgos,2022-01-10,9,5,0.4,94,11,Edificio Rondilla,114.0,108.0,55.0,0.0,0.0,0.0,0.0,9059,6,0
Burgos,2022-01-11,8,5,0.3,89,17,H. Santiago Apóstol,842.0,749.0,587.0,42.0,47.0,35.0,15.0,9059,8,0
Burgos,2022-01-11,8,5,0.3,89,17,H.U. Río Hortega,114.0,114.0,58.0,0.0,0.0,0.0,0.0,9059,11,0
Burgos,2022-01-11,8,5,0.3,89,17,Edificio Rondilla,114.0,106.0,51.0,0.0,0.0,0.0,0.0,9059,6,0
Burgos,2022-01-12,7,-2,0.0,74,20,H. Santiago Apóstol,842.0,741.0,582.0,42.0,47.0,36.0,15.0,9059,8,0
Burgos,2022-01-12,7,-2,0.0,74,20,Edificio Rondilla,114.0,107.0,46.0,0.0,0.0,0.0,0.0,9059,6,0
Burgos,2022-01-12,7,-2,0.0,74,20,H.U. Río Hortega,114.0,114.0,81.0,0.0,0.0,0.0,0.0,9059,11,0
Burgos,2022-01-13,8,-4,0.0,63,8,H. Santiago Apóstol,842.0,734.0,594.0,42.0,47.0,36.0,16.0,9059,8,0
Burgos,2022-01-13,8,-4,0.0,63,8,Edificio Rondilla,114.0,105.0,49.0,0.0,0.0,0.0,0.0,9059,6,0
Burgos,2022-01-13,8,-4,0.0,63,8,H.U. Río Hortega,114.0,114.0,82.0,0.0,0.0,0.0,0.0,9059,11,0
Burgos,2022-01-14,10,-3,0.0,51,5,H. Santiago Apóstol,842.0,737.0,574.0,42.0,47.0,37.0,15.0,9059,8,0
Burgos,2022-01-14,10,-3,0.0,51,5,H.U. Río Hortega,114.0,114.0,78.0,0.0,0.0,0.0,0.0,9059,11,0
Burgos,2022-01-14,10,-3,0.0,51,5,Edificio Rondilla,114.0,104.0,52.0,0.0,0.0,0.0,0.0,9059,6,0
Burgos,2022-01-15,8,-4,0.0,51,7,H. Santiago Apóstol,842.0,741.0,501.0,42.0,47.0,36.0,15.0,9059,8,0
Burgos,2022-01-15,8,-4,0.0,51,7,Edificio Rondilla,114.0,105.0,46.0,0.0,0.0,0.0,0.0,9059,6,0
Burgos,2022-01-15,8,-4,0.0,51,7,H.U. Río Hortega,114.0,114.0,63.0,0.0,0.0,0.0,0.0,9059,11,0
Burgos,2022-01-16,8,-4,0.0,67,8,H.U. Río Hortega,114.0,114.0,57.0,0.0,0.0,0.0,0.0,9059,11,0
Burgos,2022-01-16,8,-4,0.0,67,8,H. Santiago Apóstol,842.0,740.0,506.0,42.0,47.0,33.0,14.0,9059,8,0
Burgos,2022-01-16,8,-4,0.0,67,8,Edificio Rondilla,114.0,104.0,51.0,0.0,0.0,0.0,0.0,9059,6,0
Burgos,2022-01-17,6,-2,0.0,52,10,H.U. Río Hortega,114.0,114.0,71.0,0.0,0.0,0.0,0.0,9059,11,0
